Range,Method,Time_sec,Throughput_nums_sec,Primes_Found,Status
10000000-20000000,Miller-Rabin,2,5000000,606028,SUCCESS
10000000-20000000,Fermat,2,5000000,606093,SUCCESS
10000000-20000000,Gauss-Euler,3,3333333,606028,SUCCESS
10000000-20000000,MR-GE,3,3333333,606028,SUCCESS
100000000000-101000000000,Miller-Rabin,505,1980198,39475591,SUCCESS
100000000000-101000000000,Fermat,427,2341920,39475620,SUCCESS
100000000000-101000000000,Gauss-Euler,474,2109704,39475591,SUCCESS
100000000000-101000000000,MR-GE,622,1607717,39475591,SUCCESS
